time,flux
1354.1074113410245,1.0003744
1354.1088002024744,1.0012105
1354.110189063866,1.0003825
1354.1129667867635,0.99979
1354.1143556482134,0.9996427
1354.1157445097215,1.000176
1354.117133371171,0.9999717
1354.118522232678,0.9997179
1354.1199110941275,0.9985758
1354.1212999556355,0.99929416
1354.1226888171436,0.99999404
1354.1240776786503,0.9985943
1354.1254665402157,0.99954486
1354.1268554017238,1.0007367
1354.12824426329,0.99997604
1354.129633124856,0.9976817
1354.1310219864208,0.99909616
1354.132410847987,0.9999919
1354.1337997095534,1.0002577
1354.1351885711779,0.99927604
1354.1365774327437,1.0002732
1354.1379662943668,0.9999002
1354.1393551559913,1.0002222
1354.1407440176158,1.0008949
1354.142132879239,0.9976957
1354.1435217408625,1.0006248
1354.1449106025452,0.9996984
1354.1462994641697,1.000156
1354.1476883258524,1.0000184
1354.1490771875337,1.0005584
1354.150466049216,1.0002289
1354.1518549108987,0.99984986
1354.1532437726396,1.0004599
1354.1546326343214,0.99893314
1354.156021496061,0.9997933
1354.1574103578018,0.99892193
1354.1587992195427,1.0002359
1354.1601880812832,0.9994511
1354.1615769430232,1.0017107
1354.1629658048219,0.9985465
1354.1643546665628,1.0016961
1354.1657435283619,0.99886644
1354.1671323901596,1.001017
1354.1685212519583,1.0015492
1354.1699101137574,1.0000216
1354.1712989755565,0.9976124
1354.1726878374138,1.000211
1354.1740766992116,0.999773
1354.175465561068,0.9991392
1354.1768544229253,0.9989645
1354.1782432847822,0.9987557
1354.1796321466395,0.9986855
1354.1810210085541,1.0000082
1354.182409870411,1.0001022
1354.1837987323265,1.0003499
1354.185187594183,0.9997665
1354.186576456098,0.99981266
1354.1879653180126,1.0000551
1354.1893541799864,0.999337
1354.190743041902,0.9987372
1354.192131903817,0.99962413
1354.1935207657903,1.0000163
1354.194909627763,1.0000833
1354.1962984897364,0.99957067
1354.19768735171,1.0003397
1354.199076213683,0.99941593
1354.2004650756562,1.0000265
1354.2018539376882,1.0003637
1354.2032427997192,0.9997087
1354.204631661693,1.0006626
1354.2060205237244,1.0009952
1354.2074093857555,0.9987035
1354.2087982477874,0.99970424
1354.210187109877,0.998705
1354.2115759719081,0.99954224
1354.2129648339978,0.99966794
1354.214353696087,0.9995573
1354.2157425581772,1.0006101
1354.2171314202674,0.9998813
1354.218520282357,0.99996203
1354.2199091444463,1.0003202
1354.2212980065942,0.998884
1354.2226868686844,1.0006183
1354.224075730832,0.99953514
1354.2254645929797,0.9999535
1354.226853455128,0.9992182
1354.228242317276,1.0000212
1354.2296311794244,0.9989236
1354.23102004163,0.9998282
1354.232408903777,1.0003347
1354.2337977659836,0.9998053
1354.2351866281901,0.9990111
1354.2365754903967,0.9989774
1354.2379643526028,1.0001471
1354.239353214808,0.9996229
1354.2407420770728,0.9994761
1354.2421309392794,1.0002959
1354.2435198015432,1.0003443
1354.2449086638076,1.0000548
1354.2462975260714,0.99892294
1354.2476863883362,0.99882644
1354.249075250601,0.99861
1354.2504641129226,0.9990123
1354.251852975187,0.9989109
1354.25324183751,1.0002424
1354.2546306997747,0.9994893
1354.2560195620972,0.9997706
1354.2574084244188,1.0002192
1354.2587972868,0.9999479
1354.260186149123,0.9998263
1354.261575011446,1.0002964
1354.2629638738263,0.9992666
1354.264352736206,0.9996387
1354.265741598529,0.9995678
1354.2671304609103,0.99887276
1354.26851932329,0.99836963
1354.269908185729,1.0014561
1354.2712970481102,0.9993161
1354.2726859105496,0.99934214
1354.2740747729308,0.9990152
1354.2754636353689,0.99788225
1354.2768524978073,0.9988397
1354.2782413602467,0.99949145
1354.2796302226861,0.9997107
1354.281019085125,0.99991435
1354.2824079476213,1.0007061
1354.2837968100607,1.000595
1354.2851856725583,0.9992347
1354.2865745350555,1.000947
1354.2879633975522,0.99965376
1354.2893522600493,1.0000445
1354.290741122547,1.0002817
1354.2921299850445,1.0001645
1354.293518847599,0.99983156
1354.2949077100957,1.0002935
1354.2962965726515,1.0009141
1354.2976854352073,0.999001
1354.2990742977631,1.0001308
1354.3004631603176,0.9987898
1354.301852022873,1.0003551
1354.303240885487,0.999806
1354.3046297480419,1.0006213
1354.3060186106559,0.9995319
1354.3074074732694,1.0000468
1354.3087963358244,0.9990985
1354.3101851984384,0.998671
1354.3115740611102,0.9991446
1354.3129629237233,0.9998841
1354.3143517863368,0.99924415
1354.315740649009,1.0004426
1354.317129511623,1.0003409
1354.3185183742949,1.0007238
1354.3199072369662,1.0012256
1354.321296099638,1.0005002
1354.3226849623093,1.0002338
1354.3240738249815,1.0004034
1354.3254626877115,1.001431
1354.3268515503828,1.0008765
1354.3282404131132,1.0010386
1354.3296292758432,0.99935323
1354.3310181385737,0.9987353
1354.3324070013032,1.0009015
1354.3337958640332,0.9991176
1354.3351847267636,1.0010091
1354.3365735894931,1.0003766
1354.3379624522813,0.99945885
1354.3393513150108,1.000807
1354.340740177799,1.0007935
1354.3421290405877,0.9990633
1354.3435179033763,0.9986851
1354.344906766164,0.9983706
1354.3462956289522,0.9993543
1354.3476844917986,1.0016232
1354.3490733545873,1.0008546
1354.3504622174332,0.99929595
1354.3518510802214,0.9989413
1354.3532399430683,1.0002093
1354.3546288059142,1.0006671
1354.356017668761,0.9999045
1354.3574065316657,1.0006188
1354.3587953945112,0.9984144
1354.360184257358,1.000033
1354.361573120263,1.0011628
1354.3629619831681,0.999885
1354.364350846014,0.9991988
1354.3657397089178,0.9988299
1354.3671285718228,0.9991764
1354.368517434728,0.9993304
1354.3699062976907,0.99891233
1354.3712951605949,0.99993783
1354.3726840235577,0.99876356
1354.3740728864627,0.9973912
1354.375461749426,1.0000492
1354.376850612388,0.9995638
1354.3782394753505,1.0005771
1354.379628338314,0.9997944
1354.3810172012772,0.99961036
1354.3824060642396,1.000195
1354.3837949272597,1.0001695
1354.385183790223,0.9997446
1354.3865726532445,0.9988612
1354.3879615162655,0.99951345
1354.389350379286,0.9993063
1354.390739242307,0.9994709
1354.3921281053285,1.0005975
1354.39351696835,0.9999371
1354.3949058314283,1.0000604
1354.396294694449,0.998463
1354.3976835575286,1.0001019
1354.39907242055,1.0007532
1354.4004612836297,1.0014322
1354.401850146708,1.0003512
1354.4032390097873,0.99924195
1354.404627872867,0.99850243
1354.406016736004,1.000056
1354.4074055990839,0.99938035
1354.408794462221,0.99946535
1354.4101833253003,0.9999029
1354.4115721884382,0.9994085
1354.4129610515752,0.99890804
1354.4143499147126,0.9993383
1354.4157387778496,1.0009912
1354.4171276409875,0.99939567
1354.4185165041254,1.0010016
1354.419905367321,1.000608
1354.421294230458,1.000404
1354.4226830936536,1.0002491
1354.4240719568488,1.0001885
1354.425460820045,0.9985233
1354.4268496832406,0.9999575
1354.4282385464358,0.9995219
1354.4296274096318,0.99985194
1354.4310162728275,0.9992211
1354.4324051360818,1.0003357
1354.433793999277,0.9995155
1354.4351828625308,0.9985086
1354.436571725727,0.99984163
1354.4379605889806,0.99997747
1354.4393494522342,0.99922013
1354.440738315488,0.9985299
1354.4421271787414,1.0000372
1354.443516042054,1.0009909
